Ticker;Setor
AFHI;
AFHF;
ATWN;
AJFI;
ALZC;
MTOF;
ALZR;
AURB;
APXM;
APXU;
AIEC;
AROA;
EIRA;
ARTE;
ARXD;
AZPE;
AZPL;
CEBB;
BCRI;
BNFS;
BTML;
BZEL;
BPDR;
BPLC;
BPMW;
BBFO;
BBFI;
BBIG;
BBRC;
BINR;
BGRB;
BLOG;
BLMG;
BMLC;
BRSE;
BCIA;
BPFF;
BVAR;
CARE;
FATN;
RTEL;
BRCD;
BRCO;
BICE;
BIME;
BRIM;
BRIP;
BIPD;
BIPE;
BROF;
BETW;
LLAO;
BTHR;
BTHI;
BTAL;
BRCR;
BTCI;
BTLG;
BTHF;
BPML;
BTRA;
BTYU;
BTWR;
BTSG;
BTSI;
CXCO;
CXRI;
CRFF;
CCME;
CCVA;
CPUR;
CPLG;
CPOF;
CPTS;
CPSH;
CACR;
CBOP;
BLCA;
CNES;
CDHY;
CTXT;
CENU;
CFHI;
CFII;
CJCT;
CIXM;
CIXF;
CLIN;
CSMC;
RENV;
IBCR;
CVPR;
CYCR;
CYLD;
DAMA;
DAYM;
ASRF;
DLMT;
DPRO;
DEVA;
DAMT;
DOVL;
EDGE;
EMET;
EGYR;
EQIR;
ERCR;
ERPA;
KEVE;
EXES;
FLCR;
VRTA;
VRTM;
FTRE;
ANCR;
FLMA;
EGDB;
ELDO;
EURO;
HYPI;
HRES;
FMOF;
OPTM;
ALMI;
FLNR;
JCIN;
HLMB;
KFOF;
CVBI;
DVFF;
FAED;
FCFL;
CEOC;
FAMB;
EDGA;
FYTO;
HCRI;
NSLU;
MAXR;
PQDP;
RBRI;
RDIV;
RBRR;
RECR;
RECT;
SHDP;
TRNT;
APXR;
BRHT;
CXAG;
CXCI;
CXCE;
CXTL;
IDUA;
LKDV;
EDFO;
NVHO;
GTWR;
HBCR;
HUCG;
HUSC;
HOSI;
FIIB;
FINF;
IRDM;
BLUE;
MMPD;
MCCI;
OULG;
WTSP;
PABY;
VTPA;
FPNG;
VTPL;
ESTQ;
VPSI;
RBRY;
PULV;
RBRP;
RELG;
RZTR;
ROOF;
HOMS;
FISC;
SAIC;
SMRE;
SOFF;
SPVJ;
TGAR;
TGRU;
LVBI;
PVBI;
BARI;
VERE;
FIVN;
VTLT;
VTXI;
VSHO;
XPRE;
