"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"25.07.2025","3.445,11","3.437,60","3.447,62","3.433,34","","0,22%"
"24.07.2025","3.437,58","3.432,71","3.438,42","3.428,90","","0,14%"
"23.07.2025","3.432,71","3.440,95","3.444,94","3.431,12","","-0,24%"
"22.07.2025","3.440,95","3.443,95","3.451,26","3.439,28","","-0,09%"
"21.07.2025","3.443,94","3.465,01","3.466,37","3.443,94","","-0,61%"
"18.07.2025","3.465,01","3.475,04","3.476,11","3.464,55","","-0,29%"
"17.07.2025","3.475,04","3.475,33","3.479,79","3.472,67","","-0,01%"
"16.07.2025","3.475,33","3.479,31","3.485,36","3.472,43","","-0,12%"
"15.07.2025","3.479,40","3.483,86","3.489,12","3.477,73","","-0,13%"
"14.07.2025","3.483,85","3.483,20","3.489,27","3.482,99","","0,02%"
"11.07.2025","3.483,22","3.474,97","3.483,45","3.474,97","","0,24%"
"10.07.2025","3.474,99","3.482,58","3.482,58","3.465,60","","-0,22%"
"09.07.2025","3.482,59","3.486,43","3.487,84","3.481,46","","-0,11%"
"08.07.2025","3.486,43","3.491,69","3.497,02","3.485,49","","-0,15%"
"07.07.2025","3.491,69","3.495,42","3.500,05","3.489,71","","-0,11%"
"04.07.2025","3.495,42","3.481,80","3.496,75","3.481,64","","0,39%"
"03.07.2025","3.481,84","3.475,21","3.482,50","3.475,21","","0,19%"
"02.07.2025","3.475,21","3.474,87","3.482,71","3.470,89","","0,01%"
"01.07.2025","3.474,88","3.483,82","3.485,38","3.472,28","","-0,26%"
"30.06.2025","3.483,77","3.462,92","3.484,06","3.462,90","","0,60%"
"27.06.2025","3.462,91","3.449,55","3.464,30","3.449,29","","0,39%"
"26.06.2025","3.449,55","3.442,40","3.451,30","3.440,29","","0,21%"
"25.06.2025","3.442,39","3.434,16","3.443,94","3.431,43","","0,24%"
"24.06.2025","3.434,16","3.429,82","3.435,25","3.427,08","","0,13%"
"23.06.2025","3.429,82","3.436,70","3.439,98","3.424,57","","-0,20%"
"20.06.2025","3.436,70","3.441,06","3.444,28","3.434,05","","-0,13%"
"18.06.2025","3.441,08","3.432,05","3.441,08","3.432,05","","0,26%"
"17.06.2025","3.432,06","3.431,83","3.434,15","3.427,06","","0,01%"
"16.06.2025","3.431,84","3.419,08","3.434,48","3.419,08","","0,38%"
"13.06.2025","3.418,94","3.391,47","3.421,34","3.391,47","","0,81%"
"12.06.2025","3.391,47","3.408,33","3.408,84","3.382,05","","-0,49%"
"11.06.2025","3.408,33","3.407,76","3.415,95","3.405,06","","0,02%"
"10.06.2025","3.407,79","3.416,21","3.420,19","3.404,75","","-0,25%"
"09.06.2025","3.416,25","3.449,38","3.452,32","3.410,16","","-0,96%"
"06.06.2025","3.449,38","3.448,11","3.457,46","3.445,63","","0,04%"
"05.06.2025","3.448,11","3.448,01","3.459,00","3.446,42","","0,01%"
"04.06.2025","3.447,92","3.454,22","3.459,78","3.443,98","","-0,18%"
"03.06.2025","3.454,18","3.444,82","3.454,24","3.444,82","","0,27%"
